Symbol,"Company Name",Sector,"Final Status","Business Reasoning / Justification","Market Cap","Total Assets","Total Debt",Cash,"Interest Income","Total Revenue","Debt Ratio","Cash Ratio","Impure Ratio"
DANGSUGAR,"DANGOTE SUGAR REFINERY PLC","Consumer Goods",non-halal,"Sugar refining - permissible core activity.",886722111593,917178116000,584148582000,29166697000,2948858000,391854524000,0.3925,0.0305,0.0075
WEMABANK,"WEMA BANK PLC.","Financial Services",non-halal,"Conventional bank - interest-based lending/deposits (riba).",1151411781781.8,0,0,0,0,0,0.0000,0.0000,0.0000
PZ,"P Z CUSSONS NIGERIA PLC.","Consumer Goods",halal,"Household/personal care products - permissible core activity.",317638163600,0,5900000000,40966971000,1224444000,260456428000,0.0179,0.1243,0.0047
TOTAL,"TOTAL NIGERIA PLC.","Oil And Gas",non-halal,"Petroleum marketing/lubricants - permissible core activity.",217293975680,403008890000,75695416000,38605766000,918945000,443990701000,0.3399,0.1777,0.0021
ETRANZACT,"E-TRANZACT INTERNATIONAL PLC",Ict,halal,"Payment technology services - permissible core activity (verify no interest-bearing float structuring).",133399997332,39016734000,110236000,23691025000,156788000,16276331000,0.0008,0.0000,0.0096
MANSARD,"MANSARD INSURANCE PLC","Financial Services",non-halal,"Conventional insurance (AXA Mansard) - riba/gharar in contract structure.",117900000000,0,0,0,0,0,0.0000,0.0000,0.0000
LIVESTOCK,"LIVESTOCK FEEDS PLC.",Agriculture,non-halal,"The company core activities include, Piggery and pig feeds production and sale.",23999995344,0,0,0,0,0,0.0000,0.0000,0.0000
LASACO,"LASACO ASSURANCE PLC.","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",21945499992.9,0,0,0,0,0,0.0000,0.0000,0.0000
OANDO,"OANDO PLC","Oil And Gas",non-halal,"Oil & gas production/marketing - permissible core activity.",444422996195.75,7888927176000,2701636264000,544919308000,6282601000,2063509425000,7.5918,1.4277,0.0906
UNILEVER,"UNILEVER NIGERIA PLC.","Consumer Goods",non-halal,"Household/personal care products - permissible core activity.",838483540611.15,177240744000,2168438000,97152745000,6513195000,119923255000,0.0026,0.1208,0.0543
CADBURY,"CADBURY NIGERIA PLC.","Consumer Goods",halal,"Confectionery/food - permissible core activity.",132484536363.9,83355352000,18759727000,9985485000,161452000,83348545000,0.1219,0.0649,0.0019
SCOA,"S C O A  NIG. PLC.",Conglomerates,non-halal,"Diversified trading diversified conglomerate that operates in automotive distribution, industrial equipment, and engineering infrastructure - permissible core activity.(vehicles/equipment). Permissible core activity.",21476738228.25,21629115190,12408715930,746437170,269933630,4929340350,0.5778,0.0348,0.0548
MOFIREIF,MOFIREIF,"Construction/real Estate",non-halal,"The company operates primarily as a government-backed mortgage lending vehicle engaged in interest-bearing lending, rather than a genuine property-holding trust.",100000000000,0,0,0,0,0,0.0000,0.0000,0.0000
CHAMPION,"CHAMPION BREW. PLC.","Consumer Goods",non-halal,"The company's core, majority-revenue activity is the brewing, production, and marketing of alcoholic beverages.",93953957569.5,0,0,0,0,0,0.0000,0.0000,0.0000
MBENEFIT,"MUTUAL BENEFITS ASSURANCE PLC.","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",66002737686.13,0,0,0,0,0,0.0000,0.0000,0.0000
MTNN,"MTN Nigeria Communications PLC",Ict,halal,"Telecom services - permissible core activity.",17741248287035,0,342591000000,458930000000,46797000000,2993064000000,0.0227,0.0630,0.0156
DANGCEM,"DANGOTE CEMENT PLC","Industrial Goods",halal,"Cement manufacturing - permissible core activity.",17447260265534,6621638000000,581044000000,796276000000,16246000000,2513932000000,0.0335,0.0460,0.0065
DAARCOMM,"DAAR COMMUNICATIONS PLC",Services,doubtful,"Broadcast media - programming content mix needs review (advertising for alcohol/betting, entertainment content standards).",19800000000,0,0,0,0,0,0.0000,0.0000,0.0000
BUACEMENT,"BUA Cement PLC","Industrial Goods",halal,"Cement manufacturing - permissible core activity.",10701135882960,1918701969000,663210363000,303562937000,18730157000,728925338000,0.0620,0.0284,0.0257
GTCO,"Guaranty Trust Holding Company PLC","Financial Services",non-halal,"Conventional bank holding co - interest-based lending/deposits (riba).",4678429377792,0,0,0,0,0,0.0000,0.0000,0.0000
ETERNA,"ETERNA PLC.","Oil And Gas",non-halal,"Petroleum marketing/lubricants - permissible core activity.",47340450686.1,82750180000,29453568000,20362540000,577146000,217313027000,0.6222,0.0000,0.0027
UPDCREIT,UPDCREIT,"Construction/real Estate",doubtful,"Real estate investment trust - permissible core activity; check tenant mix.",36688705625,0,0,0,0,0,0.0000,0.0000,0.0000
OKOMUOIL,"OKOMU OIL PALM PLC.",Agriculture,halal,"Palm oil production - permissible core activity.",1352644380000,120000000000,24382183000,21404765000,622474000,125751647000,0.0180,0.0000,0.0050
UCAP,"UNITED CAPITAL PLC","Financial Services",non-halal,"The company directly operates microfinance and consumer lending subsidiaries as core segments, constituting impermissible interest-based banking activities.",324000000000,0,0,0,0,0,0.0000,0.0000,0.0000
FTNCOCOA,"FTN COCOA PROCESSORS PLC",Agriculture,non-halal,"Cocoa processing - permissible core activity.",34476000000,23588107000,22418268000,1742068000,0,4134532000,0.6503,0.0000,0.0000
LEGENDINT,"LEGENDINT [MRF]",Ict,halal,"{""justification"":""Permissible core activity.""}",8400000000,0,0,0,0,0,0.0745,0.0000,0.0000
BETAGLAS,"BETA GLASS CO PLC.","Industrial Goods",doubtful,"The company's material concentration of major clients in the alcohol industry requires a customer-revenue breakdown to resolve its status.",337661089920,0,0,0,0,0,0.0000,0.0000,0.0000
TANTALIZER,"TANTALIZERS PLC",Services,doubtful,"The company's core restaurant business is clean, but its new live-game show subsidiary requires verification to ensure it does not involve impermissible real-money wagering or betting.",21500000004.3,0,0,0,0,0,0.0000,0.0000,0.0000
AIICO,"AIICO INSURANCE PLC.","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",153742159250.4,0,0,0,0,0,0.0000,0.0000,0.0000
CONOIL,"CONOIL PLC","Oil And Gas",non-halal,"Petroleum marketing - permissible core activity.",145729944570,156409266000,72046498000,14714512000,0,179896949000,0.4944,0.1010,0.0000
CAVERTON,CAVERTON,Services,non-halal,"Aviation/helicopter services - permissible core activity.",18427803625,122040050000,77066744000,1676897000,0,14681464000,4.6003,0.1467,0.0012
UPDC,"UPDC [BLS]","Construction/real Estate",non-halal,"Real estate development - permissible core activity.",65887893272.8,25484435000,1572086000,8591278000,717866000,8012582000,0.0239,0.0000,0.0896
GEREGU,GEREGU,Utilities,non-halal,"[""Geregu Power Plc is engaged in power generation. Power generation is a permissible core activity.""]",2064250000000.00,243622903000,66094839000,65588679000,3528088000,55874560000,0.0320,0.0318,0.0631
IKEJAHOTEL,"IKEJA HOTEL PLC",Services,non-halal,"Hospitality group operating Federal Palace Hotels & Casino - gambling and alcohol sales are core revenue lines.",101631287869,0,0,0,0,0,0.0000,0.0000,0.0000
VERITASKAP,VERITASKAP,"Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",18581333332.44,0,0,0,0,0,0.0000,0.0000,0.0000
FIRSTHOLDCO,FIRSTHOLDCO,"Financial Services",non-halal,"Conventional bank holding co (First Bank) - interest-based lending/deposits (riba).",6463566981683.6,0,0,0,0,0,0.0000,0.0000,0.0000
MAYBAKER,"MAY & BAKER NIGERIA PLC",Healthcare,halal,"Pharmaceuticals manufacturing - permissible core activity.",63833690782,0,2908696000,8242811000,483104000,19280367000,0.0421,0.1194,0.0251
WAPIC,"WAPIC INSURANCE PLC","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",56380446839.1,0,0,0,0,0,0.0000,0.0000,0.0000
UNITYBNK,"UNITY BANK PLC","Financial Services",non-halal,"Conventional bank - interest-based lending/deposits (riba).",17650900292.42,0,0,0,0,0,0.0000,0.0000,0.0000
EUNISELL,EUNISELL,Services,halal,"Oilfield chemicals/services - permissible core activity.",44736209469,1470784000,145224000,15688000,0,1836917000,0.0032,0.0000,0.0000
JAPAULGOLD,"JAPAUL GOLD AND VENTURES PLC","Oil And Gas",halal,"Mining/marine support services - permissible core activity.",42502851113.68,37922602000,7001718000,788563000,495000,2701843000,0.1647,0.0000,0.0002
AFRIPRUD,"AFRICA PRUDENTIAL REGISTRARS PLC","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",46000000000,0,0,0,0,0,0.0000,0.0000,0.0000
ELLAHLAKES,"ELLAH LAKES PLC.",Agriculture,non-halal,"The company's operations include actively scaling commercial pig farming (swine production), which is a categorical exclusion in Shariah screening.",32794476263,0,0,0,0,0,0.0000,0.0000,0.0000
NPFMCRFBK,"NPF MICROFINANCE BANK PLC","Financial Services",non-halal,"Microfinance bank - interest-based lending (riba).",27267842124.25,0,0,0,0,0,0.0000,0.0000,0.0000
UHOMREIT,"UNION HOMES REAL ESTATE INVESTMENT TRUST (REIT)","Construction/real Estate",doubtful,"The fund holds impermissible interest-bearing mortgage assets alongside real estate, requiring a review of its financial ratios.",17501384670,0,0,0,0,0,0.0000,0.0000,0.0000
NCR,"NCR (NIGERIA) PLC.",Ict,doubtful,"The company supplies technology to the gaming sector, requiring a segment data breakdown to confirm the exact revenue share from these impermissible clients.",17409600000,0,0,0,0,0,0.0000,0.0000,0.0000
RTBRISCOE,"R T BRISCOE PLC.",Services,non-halal,"Equipment/vehicle trading & services - permissible core activity.",14822096688,0,18576441000,334841000,1003000,24595456000,1.5871,0.0286,0.0000
LINKASSURE,"LINKAGE ASSURANCE PLC","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",32709599984.07,0,0,0,0,0,0.0000,0.0000,0.0000
UNIVINSURE,"UNIVERSAL INSURANCE COMPANY PLC","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",13440000000,0,0,0,0,0,0.0000,0.0000,0.0000
AIRTELAFRI,"Airtel Africa PLC",Ict,halal,"Telecom services - permissible core activity.",21802540135306,19352718000000,3032568000000,895356000000,37422000000,8891190000000,0.1408,0.0555,0.0042
TRANSCORP,"TRANSNATIONAL CORPORATION OF NIGERIA PLC",Conglomerates,doubtful,"The conglomerate's segment mix requires a detailed breakdown to verify revenue from impermissible activities like its hotel bar.",396317905386,0,0,0,0,0,0.0000,0.0000,0.0000
FTGINSURE,"FTGINSURE [DWL]","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",33568679523.6,0,0,0,0,0,0.0000,0.0000,0.0000
PRESTIGE,"PRESTIGE ASSURANCE CO. PLC.","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",18686112264.9,0,0,0,0,0,0.0000,0.0000,0.0000
PRESCO,"PRESCO PLC",Agriculture,halal,"Palm oil production - permissible core activity.",2415000000690,0,119520614000,129856486000,9016528000,198750419000,0.0445,0.0484,0.0454
LIVINGTRUST,"LIVINGTRUST [MRF]","Financial Services",non-halal,"Mortgage bank - interest-based lending (riba).",17950000000,0,0,0,0,0,0.0000,0.0000,0.0000
REGALINS,"REGENCY ALLIANCE INSURANCE PLC","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",12804000000,0,0,0,0,0,0.0000,0.0000,0.0000
ABCTRANS,"ABC TRANSPORT PLC",Services,halal,"Transport/logistics services - permissible core activity.",12441633230,16597706000,1203922000,865305000,23897000,8266844000,0.0743,0.0962,0.0029
ROYALEX,"ROYAL EXCHANGE PLC.","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",10002705717.4,12161081000,1657064000,1309291000,179986000,407298000,0.1657,0.0000,0.4419
GOLDBREW,"GOLDEN GUINEA BREW. PLC.","Consumer Goods",non-halal,"Brewery (Golden Guinea Breweries) - alcohol production.",7275142800,0,0,0,0,0,0.0000,0.0000,0.0000
JAIZBANK,"JAIZ BANK PLC","Financial Services",halal,"Non-interest (Islamic) bank, licensed by CBN as Shariah-compliant - core model itself is riba-free; verify individual products with a Shariah advisor as with any institution.",379009987822,1287340683000,0,389108333000,0,57947838000,0.0000,0.0000,0.0000
REDSTAREX,"RED STAR EXPRESS PLC",Services,halal,"Courier/logistics - permissible core activity.",17179619868,11694902000,132328000,1917903000,15307000,6451263000,0.0077,0.0000,0.0024
UNIONDICON,"UNION DICON SALT PLC.","Consumer Goods",non-halal,"Diagnostics/consumer products - permissible core activity.",6491795930,13583866000,0,8057187000,1352000,13005000,0.0000,0.0000,0.1040
MCNICHOLS,"MCNICHOLS PLC","Consumer Goods",halal,"Food products - permissible core activity.",6142362209.5,0,0,407950102,31962568,3195172844,0.0000,0.0655,0.0100
NEIMETH,"NEIMETH INTERNATIONAL PHARMACEUTICALS PLC",Healthcare,halal,"Pharmaceuticals manufacturing - permissible core activity.",36748699628.8,13863574000,9337776000,1188139000,75827000,3664888000,0.2042,0.0260,0.0207
SUNUASSUR,"SUNUASSUR [BLS]","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",19059424000,0,0,0,0,0,0.0000,0.0000,0.0000
CUTIX,"CUTIX PLC.","Industrial Goods",halal,"Cables/wires manufacturing - permissible core activity.",18317749070.4,7425184000,2773811000,312614000,0,14771484000,0.1514,0.0000,0.0000
GUINEAINS,"GUINEA INSURANCE PLC.","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",5877672000,0,0,0,0,0,0.0000,0.0000,0.0000
INTENEGINS,"INTERNATIONAL ENERGY INSURANCE PLC","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",5187705375.56,0,0,0,0,0,0.0000,0.0000,0.0000
OMATEK,"OMATEK VENTURES PLC",Ict,halal,"Computer hardware - permissible core activity.",4883370523.52,2430000000,1002000000,3000000,0,0,0.2052,0.0000,0.0000
CILEASING,"C & I LEASING PLC.",Services,doubtful,"[""Equipment leasing is permissible in principle, but there are concerns with its conventional lease financing structure.""]",16512030892,149362853000,71666613000,1401659000,0,25875110000,4.3403,0.0000,0.0000
BUAFOODS,BUAFOODS,"Consumer Goods",halal,"Food products - permissible core activity.",15211800000000,1671248265000,343175223000,149518920000,495690000,765119203000,0.0201,0.0088,0.0006
ARADEL,ARADEL,"Oil And Gas",halal,"Oil & gas production/marketing - permissible core activity.",6633708368848,10875453382000,1959567217000,1717602963000,23674798000,2491454085000,0.2941,0.2866,0.0095
ACADEMY,"ACADEMY PRESS PLC.",Services,halal,"Education services - permissible core activity.",5579280000,3286194000,586231000,422132000,0,771538000,0.0739,0.0532,0.0000
NSLTECH,"SECURE ELECTRONIC TECHNOLOGY PLC",Services,non-halal,"The company's core revenue is derived directly from operating a licensed national lottery and gambling business.",4674178200,0,0,0,0,0,0.0000,0.0000,0.0000
STACO,"STACO INSURANCE PLC","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",4483722052.32,0,0,0,0,0,0.0000,0.0000,0.0000
GUINNESS,"GUINNESS NIG PLC","Consumer Goods",non-halal,"Brewery (Guinness Nigeria) - alcohol production.",823583939944,0,0,0,0,0,0.0000,0.0000,0.0000
NASCON,"NATIONAL SALT CO. NIG. PLC","Consumer Goods",non-halal,"Salt/food seasoning - permissible core activity.",526973293470,161561674000,3677749000,46053391000,5347101000,81158775000,0.0001,0.0912,0.0659
FIDELITYBK,"FIDELITY BANK PLC","Financial Services",non-halal,"Conventional bank - interest-based lending/deposits (riba).",1082073154183.1,0,0,0,0,0,0.0000,0.0000,0.0000
UACN,"U A C N  OF NIGERIA PLC.",Conglomerates,non-halal,"Diversified conglomerate - foods, real estate, logistics, paints; predominantly permissiblebusiness lines.",520997741350.8,557771305000,308779988000,50092640000,10975551000,364970145000,0.5248,0.0856,0.0088
CUSTODIAN,"CUSTODIAN AND ALLIED INSURANCE PLC",Conglomerates,non-halal,"Insurance/financial services holding group - core business is conventional insurance.",424082408459.5,0,0,0,0,0,0.0000,0.0000,0.0000
NAHCO,"NIGERIAN AVIATION HANDLING COMPANY PLC",Services,halal,"Core aviation ground/cargo/passenger handling and logistics lines (NAHCO FTZ, Commodities, Logistics, Power Solutions, Aviation Academy) are clean fee-for-service businesses. However, NAHCO Travel and Hospitality Limited (NHTL) now directly operates Sapphire Hotel, a 20-room in-terminal hotel at MMIA Terminal II (opened Feb 2026), with an on-site restaurant/lounge. No alcohol service confirmed either way in public disclosures - amenities described (breakfast, lunch/dinner, business office, gym, prayer area). Predominantly permissible core business.",272868750000,51691590000,4569964000,4132500000,649235000,35355866000,0.0132,0.0120,0.0184
NGXGROUP,NGXGROUP,"Financial Services",doubtful,"The group holds an equity stake in a conventional bond and money-market exchange, requiring verification to determine if it is an immaterial minority holding or a business-level failure.",267119764848,0,0,0,0,0,0.0000,0.0000,0.0000
AUSTINLAZ,"AUSTIN LAZ & COMPANY PLC","Industrial Goods",halal,"Industrial products - permissible core activity.",3433954800,1393686000,0,1967000,0,27200000,0.0000,0.0000,0.0000
CORNERST,"CORNERSTONE INSURANCE PLC","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",102640118901.9,0,0,0,0,0,0.0000,0.0000,0.0000
CAP,"CAP PLC","Industrial Goods",halal,"Paints manufacturing - permissible core activity.",94062598875,0,0,9542126000,770053000,22410462000,0.0000,0.0937,0.0344
CWG,"Computer Warehouse Group Plc",Ict,halal,"IT services - permissible core activity.",49234114000.5,43981933000,5986000,7402836000,0,44396801000,0.0001,0.1466,0.0000
INFINITY,"Infinity Trust Mortgage Bank Plc","Financial Services",non-halal,"Mortgage bank - interest-based lending (riba).",46917626850,0,0,0,0,0,0.0000,0.0000,0.0000
JOHNHOLT,"JOHN HOLT PLC.",Conglomerates,halal,"[""John Holt Plc is a diversified conglomerate involved in trading, assembling, and leasing. These are permissible business activities.""]",3930429261.20,10261000000,954000000,733000000,0,2500000000,0.0930,0.0714,0.0000
HMCALL,HMCALL,"Construction/real Estate",doubtful,"[""There are concerns regarding the revenue source mix from its budget hotel operations under the Suru Express Hotel brand.""]",9334780000,0,0,0,0,0,0.0000,0.0000,0.0000
NESTLE,"NESTLE NIGERIA PLC.","Consumer Goods",halal,"Food & beverage manufacturing - permissible core activity.",2179804693000,847432832000,445110994000,5615063000,1123090000,650759476000,0.1996,0.0025,0.0017
MULTIVERSE,"MULTIVERSE PLC","Natural Resources",halal,"Mining/resources holding - permissible core activity.",9077929388.4,3113786000,239961000,18818000,0,267409000,0.0264,0.0000,0.0000
CHELLARAM,"CHELLARAMS PLC.",Conglomerates,non-halal,"Diversified conglomerate across two segments: Industrial Raw Materials (chemicals, machinery, packaging supplied to food/pharma/manufacturing sectors) and Consumer Products (dairy via Chellarams DMK JV, frozen foods, apparel, bicycles, KFC franchise), plus real estate rental income. Predominantly permissible core business.",8602807500,22164192000,3939300000,235160000,0,9662933000,0.4579,0.0000,0.0000
SEPLAT,"SEPLAT PETROLEUM DEVELOPMENT COMPANY","Oil And Gas",halal,"Oil & gas production - permissible core activity.",6817709996747.9,8240969000000,1196359000000,778749000000,9133000000,2502181000000,0.1628,0.1148,0.0037
SKYAVN,SKYAVN,Services,halal,"Aviation ground handling - permissible core activity.",231732896000,86547494000,3249634000,3858489000,133905000,23012466000,0.0140,0.0167,0.0058
ZENITHBANK,"ZENITH BANK PLC","Financial Services",non-halal,"Conventional bank - interest-based lending/deposits (riba).",5174798580000,0,0,0,0,0,0.0000,0.0000,0.0000
ENAMELWA,"NIGERIAN ENAMELWARE PLC.","Consumer Goods",halal,"Enamelware/houseware manufacturing - permissible core activity.",3094502400,2888416000,0,785368000,0,1301835000,0.0000,0.0000,0.0000
MERGROWTH,"Meristem Growth ETF","EXCHANGE TRADED FUND",doubtful,"The ETF's sector exposure requires verification, as growth indices historically include impermissible conventional financial services.",0,0,0,0,0,0,0.0000,0.0000,0.0000
TRANSPOWER,TRANSPOWER,Utilities,halal,"Power transmission - permissible core activity.",1647000000000,619017348000,63626203000,667934000,1338149000,181965652000,0.0386,0.0000,0.0074
NNFM,"N NIG. FLOUR MILLS PLC.","Consumer Goods",non-halal,"Flour milling - permissible core activity.",14149080000,44233011000,26929139000,786619000,59000,1825606000,1.9032,0.0000,0.0000
UPL,"UNIVERSITY PRESS PLC.",Services,non-halal,"University Press Plc (founded 1949 as Oxford University Press Nigeria) - Nigeria's largest indigenous book publisher, engaged in printing, publishing, sale and distribution of educational (pre-primary through tertiary curriculum) and general reading books and materials. Permissible core activity.",2308040846.4,4596414000,0,554523000,22531000,427140000,0.0000,0.0000,0.0527
GREENWETF,GREENWETF,"EXCHANGE TRADED FUND",non-halal,"Greenwich Alpha ETF - tracks the broad NGX All-Share Index, which includes conventional banks, insurers, breweries and other impermissible names as core constituents alongside permissible companies; a market-cap-weighted all-share tracker cannot exclude these holdings.",0,0,0,0,0,0,0.0000,0.0000,0.0000
MULTITREX,"MULTI-TREX INTEGRATED FOODS PLC","Consumer Goods",halal,"Food/starch processing - permissible core activity. Note: This company is currently not trading on the NGX.",2243056993.92,0,0,0,0,0,0.0000,0.0000,0.0000
TRIPPLEG,"TRIPPLE GEE AND COMPANY PLC.","Industrial Goods",non-halal,"Industrial products - permissible core activity.",2850935040,5251097160,5203206190,15848160,334510,445175000,1.8251,0.0000,0.0008
FCMB,"FIRST CITY MONUMENT BANK PLC.","Financial Services",non-halal,"Conventional bank - interest-based lending/deposits (riba).",553893596248.3,0,0,0,0,0,0.0000,0.0000,0.0000
JBERGER,"JULIUS BERGER NIGERIA PLC","Construction/real Estate",halal,"[""Julius Berger Nigeria Plc is a construction company offering civil works, building, and facility management services, which are permissible business activities.""]",497280000000.00,1071272602000,91004166000,168804545000,8984939000,424562607000,0.0849,0.1576,0.0212
STERLINGNG,"Sterling Financial Holdings Company PLC","Financial Services",non-halal,"Conventional bank - interest-based lending/deposits (riba).",409118547449.9,0,0,0,0,0,0.0000,0.0000,0.0000
CNIF,CNIF,"Construction/real Estate",non-halal,"The fund operates as a closed-end debt fund where interest income from infrastructure loans and securitised debt is the primary revenue driver.",13562970000,0,0,0,0,0,0.0000,0.0000,0.0000
EKOCORP,"EKOCORP PLC",Healthcare,halal,"Hospital operator (Eko Hospitals) - permissible core activity.",2891885266.4,0,0,0,0,0,0.0000,0.0000,0.0000
FIDSON,"FIDSON HEALTHCARE PLC",Healthcare,halal,"Pharmaceuticals manufacturing - permissible core activity.",214696901526.25,110381986000,24353555000,13117798000,223661000,74484661000,0.1134,0.0000,0.0030
NIDF,NIDF,"Construction/real Estate",non-halal,"The fund operates explicitly as a debt fund whose core product is providing interest-based loans to infrastructure projects.",195365253724.9,0,0,0,0,0,0.0000,0.0000,0.0000
NREIT,NREIT,"Construction/real Estate",halal,"Chapel Hill Denham Nigeria Real Estate Investment Trust - unlike other REIT-labeled NGX names on this list, NREIT is an actually certified Shariah-compliant fund, not just an inferred one: it has a named Shariah Adviser (Lotus Financial Services Limited), offer documents explicitly commit proceeds to Shariah-compliant, income-producing commercial real estate (office, retail, industrial, corporate residential), and management states a strategy of avoiding heavy reliance on debt financing - addressing the debt-ratio screen directly, not just business activity. NREIT is the only NGX REIT with actual third-party Shariah certification.",179513746086,205898618000,0,10621986000,0,4454407000,0.0000,0.0592,0.0000
NEM,"NEM INSURANCE PLC.","Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",160527288544,0,0,0,0,0,0.0000,0.0000,0.0000
HONYFLOUR,"HONEYWELL FLOUR MILL PLC","Consumer Goods",halal,"[""Honeywell Flour Mills Plc is engaged in the manufacturing and marketing of wheat-based products, which is a permissible business activity.""]",139571478780.80,310180000000,41973000000,13778000000,2127000000,112867000000,0.1353,0.0444,0.0188
RONCHESS,RONCHESS,"Construction/real Estate",non-halal,"Real estate development - permissible core activity.",7371000000,8592033000,7380944000,0,0,0,1.0013,0.0000,0.0000
MEYER,"MEYER PLC","Industrial Goods",non-halal,"Paints/building materials - permissible core activity.",8871669974.1,0,1813000,2118134000,171887000,2374451000,0.0002,0.2548,0.0724
JULI,"JULI PLC.",Services,halal,"Pharmaceutical distribution - permissible core activity.",1449311279,0,0,0,0,0,0.0000,0.0000,0.0000
THOMASWY,"THOMAS WYATT NIG. PLC.","Natural Resources",halal,"Trading/resources - permissible core activity.",1271160000,1046995000,273810000,79574000,0,14988000,0.2154,0.0000,0.0000
VFDGROUP,VFDGROUP,Investment,non-halal,"The group's core operations include directly operated, interest-based banking and conventional financial services segments which are impermissible.",87412587900,0,0,0,0,0,0.0000,0.0000,0.0000
CONHALLPLC,CONHALLPLC,"Financial Services",non-halal,"Conventional insurance - riba/gharar in contract structure.",75663200000,0,0,0,0,0,0.0000,0.0000,0.0000
LEARNAFRCA,"LEARN AFRICA PLC",Services,halal,"Publishing/education materials - permissible core activity.",8375054062.5,6408462000,0,788330000,7447000,1246695000,0.0000,0.0000,0.0060
TRANSEXPR,"TRANS-NATIONWIDE EXPRESS PLC.",Services,non-halal,"{""justification"":""Permissible core activity.""}",1071022667.7,750720000,0,6719000,20039000,72013000,0.0000,0.0000,0.2387
BERGER,"BERGER PAINTS PLC","Industrial Goods",halal,"Paints manufacturing - permissible core activity.",42777940777.2,9703336000,358644000,628884000,147316000,6966189000,0.0033,0.0541,0.0213
CHAMS,"CHAMS PLC",Ict,non-halal,"Identity management and payments-infrastructure group across three segments: Identity Management (biometric ID, card personalization for financial/healthcare/corporate clients via Card Centre Nigeria), Payments/Transactional Systems (switching via ChamsSwitch, ATM deployment via Chams Access, mobile money via ChamsMobile), and ICT Training - plus a 2026 pivot into AI/data-centre infrastructure via new subsidiary ChamsCorp.  Permissible core activity.",36720000000,35744117000,4824384000,5597266000,538787000,9788763000,0.1781,0.2943,0.0550
